No,SKU_Code,Nama_Produk,Di,d,DL,S,ROPi,Qi,Li,Oci,Hci,Opi,Hbi,HJi
1,PP3,100ml Vanilla Cake,12824,1068.666667,140.5369863,178.8525718,190,181,0.010958904,5021.75,7036.736005,23400,25350,75000
2,PP2,50ml Vanilla Cake,16723,1393.583333,183.2657534,492.6415733,305,280,0.010958904,5021.75,7036.736005,12500,16750,45000
3,PD2,50ml Coffee Cream,3620,301.6666667,39.67123288,133.204104,67,98,0.010958904,5021.75,7036.736005,7500,21750,45000
4,PP1,30ml Vanilla Cake,4672,389.3333333,51.2,94.09795026,73,101,0.010958904,5021.75,7036.736005,9700,13050,35000
5,PM3,100ml Popcorn Vanilla,1016,84.66666667,11.13424658,26.76270585,18,43,0.010958904,5021.75,7036.736005,18400,30350,75000
14,PB1,30ml Cappucino,445,37.08333333,4.876712329,33.76512007,11,30,0.010958904,5021.75,7036.736005,9325,13425,35000
15,PC3,100ml Chocolate Fudge,194,16.16666667,2.126027397,9.91631652,5,19,0.010958904,5021.75,7036.736005,23400,25350,75000
16,PL3,100ml Popcorn Caramel,143,11.91666667,1.567123288,7.751343969,3,16,0.010958904,5021.75,7036.736005,17150,31600,75000
17,BLA1,Body Lotion Vanilla Cake ,215,17.91666667,2.356164384,14.90246065,5,20,0.010958904,5021.75,7036.736005,10000,19250,45000
18,PA1,30ml Bubblegum,288,24,3.156164384,9.438798074,5,22,0.010958904,5021.75,7036.736005,9325,13425,35000
19,PJ2,50ml Milkshake Banana,182,15.16666667,1.994520548,12.72673159,4,18,0.010958904,5021.75,7036.736005,8750,20500,45000
6,PD1,30ml Coffee Cream,1428,119,15.64931507,36.20396764,23,51,0.010958904,5021.75,7036.736005,6700,16050,35000
7,PM2,50ml Popcorn Vanilla,640,53.33333333,7.01369863,27.50316786,13,35,0.010958904,5021.75,7036.736005,10000,19250,45000
8,PL2,50ml Popcorn Caramel,518,43.16666667,5.676712329,28.38960544,11,32,0.010958904,5021.75,7036.736005,9375,19875,45000
9,PA2,50ml Bubblegum,539,44.91666667,5.906849315,14.66881871,9,31,0.010958904,5021.75,7036.736005,11875,17375,45000
10,PC2,50ml Chocolate Fudge,456,38,4.997260274,32.69139448,12,31,0.010958904,5021.75,7036.736005,12500,16750,45000
11,PN2,50ml Strawberry Poundcake,346,28.83333333,3.791780822,10.9447649,6,24,0.010958904,5021.75,7036.736005,8125,21125,45000
12,PA3,100ml Bubblegum,226,18.83333333,2.476712329,3.973396379,4,19,0.010958904,5021.75,7036.736005,22150,26600,75000
13,PB3,100ml Cappucino,225,18.75,2.465753425,18.59679836,7,21,0.010958904,5021.75,7036.736005,22150,26600,75000
20,PG2,50ml Ice Cream Chocolate,216,18,2.367123288,21.6962502,7,21,0.010958904,5021.75,7036.736005,13125,16125,45000
29,PE2,50ml Freshtea,92,7.666666667,1.008219178,6.853444168,2,13,0.010958904,5021.75,7036.736005,8125,21125,45000
30,PO2,50ml Tiramisu Cake,104,8.666666667,1.139726027,7.036700329,3,14,0.010958904,5021.75,7036.736005,10625,18625,45000
31,PG3,100ml Ice Cream Chocolate,76,6.333333333,0.832876712,5.882691612,2,12,0.010958904,5021.75,7036.736005,24650,24100,75000
32,PF3,100ml Fruity Candy,51,4.25,0.55890411,5.189587477,2,10,0.010958904,5021.75,7036.736005,13400,35350,75000
33,PQ2,50ml Waffer,93,7.75,1.019178082,7.95584405,3,13,0.010958904,5021.75,7036.736005,10625,18625,45000
34,PN1,30ml Strawberry Poundcake,101,8.416666667,1.106849315,8.680786866,3,13,0.010958904,5021.75,7036.736005,7075,15675,35000
35,PJ1,30ml Milkshake Banana,101,8.416666667,1.106849315,8.393269309,3,13,0.010958904,5021.75,7036.736005,7450,15300,35000
36,PK2,50ml Mocha Bread,81,6.75,0.887671233,4.070403152,2,12,0.010958904,5021.75,7036.736005,10625,18625,45000
37,PK3,100ml Mocha Bread,46,3.833333333,0.504109589,2.249579085,1,9,0.010958904,5021.75,7036.736005,19650,29100,75000
38,PL1,30ml Popcorn Caramel,83,6.916666667,0.909589041,6.721178648,2,12,0.010958904,5021.75,7036.736005,7825,14925,35000
21,PD3,100ml Coffee Cream,91,7.583333333,0.997260274,4.399552319,2,12,0.010958904,5021.75,7036.736005,13400,35350,75000
39,PF1,30ml Fruity Candy,66,5.5,0.723287671,6.571287407,2,11,0.010958904,5021.75,7036.736005,6700,16050,35000
40,PG1,30ml Ice Cream Chocolate,80,6.666666667,0.876712329,5.989890473,2,12,0.010958904,5021.75,7036.736005,10075,12675,35000
41,PE1,30ml Freshtea,61,5.083333333,0.668493151,4.294993562,2,10,0.010958904,5021.75,7036.736005,7075,15675,35000
42,PC1,30ml Chocolate Fudge,71,5.916666667,0.778082192,5.946096249,2,11,0.010958904,5021.75,7036.736005,9700,13050,35000
43,PO1,30ml Tiramisu Cake,62,5.166666667,0.679452055,2.979729498,2,10,0.010958904,5021.75,7036.736005,8575,14175,35000
44,PO3,100ml Tiramisu Cake,30,2.5,0.328767123,1.623688282,1,7,0.010958904,5021.75,7036.736005,19650,29100,75000
45,PH2,50ml Lime Soda,44,3.666666667,0.482191781,2.424621183,1,9,0.010958904,5021.75,7036.736005,10625,18625,45000
46,PB2,50ml Cappucino,43,3.583333333,0.471232877,3.728473569,1,9,0.010958904,5021.75,7036.736005,11875,17375,45000
47,PQ3,100ml Waffer,24,2,0.263013699,1.59544807,1,7,0.010958904,5021.75,7036.736005,19650,29100,75000
48,PE3,100ml Freshtea,17,1.416666667,0.18630137,1.240112409,1,6,0.010958904,5021.75,7036.736005,14650,34100,75000
22,PN3,100ml Strawberry Poundcake,87,7.25,0.953424658,5.479299889,2,12,0.010958904,5021.75,7036.736005,14650,34100,75000
49,PI1,30ml Manggo Cream Dessert,37,3.083333333,0.405479452,3.800916955,1,8,0.010958904,5021.75,7036.736005,8575,14175,35000
50,PK1,30ml Mocha Bread,26,2.166666667,0.284931507,2.081665999,1,7,0.010958904,5021.75,7036.736005,8575,14175,35000
51,PH1,30ml Lime Soda,18,1.5,0.197260274,1,1,6,0.010958904,5021.75,7036.736005,8575,14175,35000
52,PQ1,30ml Waffer,18,1.5,0.197260274,1.314257481,1,6,0.010958904,5021.75,7036.736005,8575,14175,35000
23,PI2,50ml Manggo Cream Dessert,154,12.83333333,1.687671233,5.540484608,3,16,0.010958904,5021.75,7036.736005,10625,18625,45000
24,PM1,30ml Popcorn Vanilla,186,15.5,2.038356164,15.91740043,5,19,0.010958904,5021.75,7036.736005,8200,14550,35000
25,PF2,50ml Fruity Candy,101,8.416666667,1.106849315,7.464562745,3,13,0.010958904,5021.75,7036.736005,7500,21750,45000
26,PH3,100ml Lime Soda,74,6.166666667,0.810958904,5.589492306,2,12,0.010958904,5021.75,7036.736005,19650,29100,75000
27,PJ3,100ml Milkshake Banana,63,5.25,0.690410959,5.029458673,2,11,0.010958904,5021.75,7036.736005,15900,32850,75000
28,PI3,100ml Manggo Cream Dessert,67,5.583333333,0.734246575,3.232177238,2,11,0.010958904,5021.75,7036.736005,19650,29100,75000
